time,S,C,ε,γ,κ,β,θ
0.0,1967.0,33.0,1e-04,0.05,0.071428575,0.01,1e-04
7.0,1905.7711,94.22876,8.181964e-05,0.05,0.071428575,0.01,1e-04
14.0,1899.8429,100.15684,7.6749784e-05,0.05,0.071428575,0.01,1e-04
21.0,1899.2819,100.718025,7.4248484e-05,0.05,0.071428575,0.01,1e-04
28.0,1899.2369,100.763756,7.278404e-05,0.05,0.071428575,0.01,1e-04
35.0,1899.2369,100.76266,7.1898976e-05,0.05,0.071428575,0.01,1e-04
42.0,1899.2404,100.75926,7.1361304e-05,0.05,0.071428575,0.01,1e-04
49.0,1899.2429,100.75701,7.1034454e-05,0.05,0.071428575,0.01,1e-04
56.0,1899.2458,100.75555,7.083564e-05,0.05,0.071428575,0.01,1e-04
63.0,1899.2451,100.75471,7.071485e-05,0.05,0.071428575,0.01,1e-04
70.0,1899.2457,100.7541,7.06414e-05,0.05,0.071428575,0.01,1e-04
77.0,1899.246,100.75383,7.059667e-05,0.05,0.071428575,0.01,1e-04
84.0,1899.2456,100.75363,7.056953e-05,0.05,0.071428575,0.01,1e-04
91.0,1899.2462,100.75331,7.055296e-05,0.05,0.071428575,0.01,1e-04
98.0,1899.2471,100.75344,7.054293e-05,0.05,0.071428575,0.01,1e-04
105.0,1899.2494,100.75332,7.053687e-05,0.05,0.071428575,0.01,1e-04
112.0,1899.2465,100.75339,7.05331e-05,0.05,0.071428575,0.01,1e-04
119.0,1899.2465,100.75336,7.0530834e-05,0.05,0.071428575,0.01,1e-04
126.0,1899.2463,100.75336,7.0529466e-05,0.05,0.071428575,0.01,1e-04
133.0,1899.247,100.753334,7.052859e-05,0.05,0.071428575,0.01,1e-04
140.0,1899.2465,100.75336,7.052811e-05,0.05,0.071428575,0.01,1e-04
147.0,1899.2471,100.75333,7.052781e-05,0.05,0.071428575,0.01,1e-04
154.0,1899.247,100.75325,7.052758e-05,0.05,0.071428575,0.01,1e-04
161.0,1899.2467,100.75343,7.0527654e-05,0.05,0.071428575,0.01,1e-04
168.0,1899.2465,100.753334,7.0527436e-05,0.05,0.071428575,0.01,1e-04
175.0,1899.2466,100.75334,7.052739e-05,0.05,0.071428575,0.01,1e-04
182.0,1899.2466,100.753395,7.052736e-05,0.05,0.071428575,0.01,1e-04
189.0,1899.2465,100.753334,7.052734e-05,0.05,0.071428575,0.01,1e-04
196.0,1899.2466,100.75335,7.052734e-05,0.05,0.071428575,0.01,1e-04
203.0,1899.2482,100.753395,7.052734e-05,0.05,0.071428575,0.01,1e-04
210.0,1899.2465,100.753334,7.052734e-05,0.05,0.071428575,0.01,1e-04
217.0,1899.2466,100.75336,7.052734e-05,0.05,0.071428575,0.01,1e-04
224.0,1899.2487,100.75341,7.052734e-05,0.05,0.071428575,0.01,1e-04
231.0,1899.2465,100.753334,7.052734e-05,0.05,0.071428575,0.01,1e-04
238.0,1899.2466,100.753365,7.052734e-05,0.05,0.071428575,0.01,1e-04
245.0,1899.2493,100.753426,7.052734e-05,0.05,0.071428575,0.01,1e-04
252.0,1899.2465,100.75334,7.052734e-05,0.05,0.071428575,0.01,1e-04
259.0,1899.2466,100.75338,7.052734e-05,0.05,0.071428575,0.01,1e-04
266.0,1899.25,100.75345,7.052734e-05,0.05,0.071428575,0.01,1e-04
273.0,1899.2465,100.75335,7.052734e-05,0.05,0.071428575,0.01,1e-04
280.0,1899.2466,100.75339,7.052734e-05,0.05,0.071428575,0.01,1e-04
287.0,1899.2465,100.753334,7.052734e-05,0.05,0.071428575,0.01,1e-04
294.0,1899.2465,100.75336,7.052734e-05,0.05,0.071428575,0.01,1e-04
301.0,1899.2466,100.7534,7.052734e-05,0.05,0.071428575,0.01,1e-04
308.0,1899.2465,100.753334,7.052734e-05,0.05,0.071428575,0.01,1e-04
315.0,1899.2465,100.753365,7.052734e-05,0.05,0.071428575,0.01,1e-04
322.0,1899.2466,100.75342,7.052734e-05,0.05,0.071428575,0.01,1e-04
329.0,1899.2466,100.75334,7.052734e-05,0.05,0.071428575,0.01,1e-04
336.0,1899.2465,100.75337,7.052734e-05,0.05,0.071428575,0.01,1e-04
343.0,1899.2467,100.75343,7.052734e-05,0.05,0.071428575,0.01,1e-04
350.0,1899.2467,100.75334,7.052734e-05,0.05,0.071428575,0.01,1e-04
357.0,1899.2466,100.75339,7.052734e-05,0.05,0.071428575,0.01,1e-04
364.0,1899.2467,100.75345,7.0527334e-05,0.05,0.071428575,0.01,1e-04
371.0,1899.2468,100.75335,7.052734e-05,0.05,0.071428575,0.01,1e-04
378.0,1899.2466,100.753395,7.052734e-05,0.05,0.071428575,0.01,1e-04
385.0,1899.2465,100.753334,7.052734e-05,0.05,0.071428575,0.01,1e-04
392.0,1899.247,100.75336,7.052734e-05,0.05,0.071428575,0.01,1e-04
399.0,1899.2466,100.75341,7.052734e-05,0.05,0.071428575,0.01,1e-04
406.0,1899.2465,100.753334,7.052734e-05,0.05,0.071428575,0.01,1e-04
413.0,1899.2472,100.753365,7.052734e-05,0.05,0.071428575,0.01,1e-04
420.0,1899.2467,100.753426,7.052734e-05,0.05,0.071428575,0.01,1e-04
