time,S,C,ε,γ,κ,β,θ,K
0.0,1967.0,33.0,1e-04,0.05,0.071428575,0.01,1e-04,0.2
7.0,1905.5398,94.46009,0.00014896241,0.05,0.071428575,0.01,1e-04,0.2
14.0,1899.2704,100.72921,0.00019954458,0.05,0.071428575,0.01,1e-04,0.2
21.0,1898.4641,101.53603,0.00023232223,0.05,0.071428575,0.01,1e-04,0.2
28.0,1898.2622,101.73721,0.00025254075,0.05,0.071428575,0.01,1e-04,0.2
35.0,1898.1685,101.83191,0.00026491957,0.05,0.071428575,0.01,1e-04,0.2
42.0,1898.1118,101.8871,0.00027249035,0.05,0.071428575,0.01,1e-04,0.2
49.0,1898.0793,101.920654,0.00027711916,0.05,0.071428575,0.01,1e-04,0.2
56.0,1898.0588,101.941124,0.00027994986,0.05,0.071428575,0.01,1e-04,0.2
63.0,1898.0465,101.95363,0.00028168,0.05,0.071428575,0.01,1e-04,0.2
70.0,1898.0393,101.96116,0.00028273792,0.05,0.071428575,0.01,1e-04,0.2
77.0,1898.0339,101.96594,0.0002833849,0.05,0.071428575,0.01,1e-04,0.2
84.0,1898.0317,101.96876,0.00028378007,0.05,0.071428575,0.01,1e-04,0.2
91.0,1898.0292,101.970535,0.0002840223,0.05,0.071428575,0.01,1e-04,0.2
98.0,1898.0281,101.97155,0.00028416998,0.05,0.071428575,0.01,1e-04,0.2
105.0,1898.0277,101.97226,0.00028426058,0.05,0.071428575,0.01,1e-04,0.2
112.0,1898.0272,101.97266,0.0002843158,0.05,0.071428575,0.01,1e-04,0.2
119.0,1898.0266,101.972885,0.00028434963,0.05,0.071428575,0.01,1e-04,0.2
126.0,1898.0269,101.97304,0.00028437018,0.05,0.071428575,0.01,1e-04,0.2
133.0,1898.0273,101.97314,0.00028438302,0.05,0.071428575,0.01,1e-04,0.2
140.0,1898.0278,101.97314,0.00028439055,0.05,0.071428575,0.01,1e-04,0.2
147.0,1898.0267,101.97323,0.00028439536,0.05,0.071428575,0.01,1e-04,0.2
154.0,1898.0266,101.97327,0.00028439815,0.05,0.071428575,0.01,1e-04,0.2
161.0,1898.0266,101.97327,0.00028439998,0.05,0.071428575,0.01,1e-04,0.2
168.0,1898.0265,101.97328,0.00028440106,0.05,0.071428575,0.01,1e-04,0.2
175.0,1898.0267,101.9733,0.00028440173,0.05,0.071428575,0.01,1e-04,0.2
182.0,1898.0266,101.97331,0.00028440228,0.05,0.071428575,0.01,1e-04,0.2
189.0,1898.0266,101.973404,0.00028440196,0.05,0.071428575,0.01,1e-04,0.2
196.0,1898.0266,101.9733,0.0002844025,0.05,0.071428575,0.01,1e-04,0.2
203.0,1898.0267,101.97327,0.00028440266,0.05,0.071428575,0.01,1e-04,0.2
210.0,1898.0265,101.97338,0.00028440266,0.05,0.071428575,0.01,1e-04,0.2
217.0,1898.0265,101.9733,0.00028440275,0.05,0.071428575,0.01,1e-04,0.2
224.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
